0-ID,图片,名字(空白不显示),动作,对白,背景文字,5-人物位置,显示框架,下一句,自动切换帧数,选择,10-选择文本1,跳至1,选择文本2,跳至2,选择文本3,跳至3,分支条件,条件跳至,不成立跳至,进入scene,执行脚本名
1,章节图片,,,,第二章 初次闪耀,,,2,,,,,,,,,,,,,
2,训练营大厅,,,,,,,3,,,,,,,,,,,,,
3,黄子韬,黄子韬,出现,大家好！今天我们要宣布下一步考核的C位，分为勤奋C位和能力C位。接下来我分别宣布……,,,,4,,,,,,,,,,,,,
4,杨超越,杨超越,内心独白,眼看着别人不是能力强，就是不要命得练习，看来还是我不够努力。哎呀，很后悔。这一次要更加努力才行。,,,,5,,,,,,,,,,,,,
5,黄子韬,黄子韬,,现在我们开始分组，你们可以选择自己的战队。,,,,6,,,,,,,,,,,,,
6,杨超越,杨超越,,轮到我了，怎么办呢？大部分战队都被选满了啊。那我选个适合我的吧，不想连累别人。,,,,7,,,,,,,,,,,,,
7,杨超越,杨超越,到屏幕一侧,,,,,8,,,,,,,,,,,,,
8,姜彦汐,姜彦汐,出现,欢迎你！,,,,9,,,,,,,,,,,,,
9,杨超越,杨超越,,麻烦你了！,,,,10,,,,,,,,,,,,,
10,姜彦汐,姜彦汐,惊讶,我们大家都是C班、D班和F班的，但只要我们团结一致，成为“一队”，一定不会差！,,,,11,,,,,,,,,,,,,
11,杨超越,杨超越,开心,嗯！,,,,12,,,,,,,,,,,,,
12,杨超越,杨超越,内心独白,我真是个?幸运的女孩?又遇到好人！,,,,13,,,,,,,,,,,,,
13,练习室,,,,,,,14,,,,,,,,,,,,,
14,姜彦汐,姜彦汐,,我们先来分一下词吧。超越，第三段你可以吗？,,,,15,,,,,,,,,,,,,
15,杨超越,杨超越,为难、苦笑,我觉得……最好……就是不要唱比较好。,,,,16,,,,,,,,,,,,,
16,杨超越、姜彦汐,姜彦汐,,我听过你唱歌，可以的，你可以唱的。,,,,17,,,,,,,,,,,,,
17,杨超越、姜彦汐,杨超越,,我就是节奏感不好，不知道什么时候进。,,,,18,,,,,,,,,,,,,
18,杨超越、姜彦汐,姜彦汐,,我节奏感也不好，是可以练习的。你就是太没自信了。,,,,19,,,,,,,,,,,,,
19,杨超越、姜彦汐,杨超越,看着姜彦汐期待的眼神,,,,,20,,2,好吧！我会尽力！,20,你不要给我太大压力,20,,,1,,,杨超越和“资深温柔队长”,
20,杨超越、姜彦汐,姜彦汐,,那我们就这样、这样分。嗯。,,,,21,,,,,,,,,,,,,
21,杨超越、姜彦汐,杨超越,,好的！我一定好好练习！,,,,22,,,,,,,,,,,,,
22,游戏界面,,,,开始排练,,,23,,,,,,,,,,,,,音游
23,杨超越、姜彦汐,姜彦汐,,嗯呢，我们这样就很好了。来排练舞蹈吧！,,,,24,,,,,,,,,,,,,
24,杨超越、姜彦汐,杨超越,内心独白,好的，我觉得我这次一定跟得上！开心！,,,,25,,,,,,,,,,,,,
25,游戏界面,,,,开始排练,,,26,,,,,,,,,,,,,音游
26,杨超越、姜彦汐,姜彦汐,,超越！你进步了好多啊！,,,,27,,,,,,,,,,,,,
27,杨超越、姜彦汐,杨超越,开心得对着镜头摆出了舞蹈动作。,,,,,28,,,,,,,,,,,,,
28,教室,,,,第二声乐课,,,29,,,,,,,,,,,,,
29,胡彦斌,胡彦斌,出现,大家练习得怎么样了？唱给我听听？,,,,30,,,,,,,,,,,,,
30,杨超越,杨超越,立刻举手,老师！老师，我不知道怎么才能进对？,,,,31,,,,,,,,,,,,,
31,杨超越、胡彦斌,胡彦斌,,进对？就是不知道什么时候开始唱是吧？,,,,32,,,,,,,,,,,,,
32,杨超越、胡彦斌,杨超越,,对对对。,,,,33,,,,,,,,,,,,,
33,杨超越、胡彦斌,胡彦斌,,那你得重新数拍子啦。,,,,34,,,,,,,,,,,,,
34,杨超越、胡彦斌,杨超越,脸红,,,,,35,,,,,,,,,,,,,
35,杨超越、胡彦斌,胡彦斌,,你这样打拍子。然后数到3就开始唱。,,,,36,,,,,,,,,,,,,
36,杨超越、胡彦斌,杨超越,,1-2-3！“如果你也觉得心灵相惜，那就请你给我个肯定的回应。”,,,,37,,,,,,,,,,,,,
37,杨超越、胡彦斌,胡彦斌,,节奏不对。,,,,38,,,,,,,,,,,,,
38,杨超越、胡彦斌,杨超越,,我老是抓不住。,,,,,,,,,,,,,,,,,
39,杨超越、胡彦斌,胡彦斌,,是“如果，你也觉得，心灵，相惜，那就请你，给我个，肯定的回应。”,,,,40,,,,,,,,,,,,,
40,杨超越、胡彦斌,杨超越,,哦！原来如此！“如果，你也觉得，心灵，相惜，那就请你，给我个，肯定的回应。”,,,,41,,,,,,,,,,,,,
41,杨超越、胡彦斌,胡彦斌,,很好！多练几遍就好！姜彦汐你带一下她。,,,,42,,,,,,,,,,,,,
42,杨超越、姜彦汐,姜彦汐,,好的！好的！,,,,43,,,,,,,,,,,,,
43,杨超越、姜彦汐,杨超越,,谢谢！,,,,44,,,,,,,,,,,,,
44,游戏界面,,,,排练开始,,,45,,,,,,,,,,,,,音游
45,杨超越,杨超越,,哎呀，好多了！明天肯定不会掉链子。,,,,46,,,,,,,,,,,,,
46,公演舞台,,,,第一次公演,,,47,,,,,,,,,,,,,
47,杨超越、姜彦汐,,紧张得坐在后台,,,,,48,,,,,,,,,,,,,
48,杨超越,杨超越,,哎呀，我们落后了，怎么办啊？好希望能赢！,,,,49,,,,,,,,,,,,,
49,杨超越,ELLA,,那我们派出的是，姜彦汐组。,,,,50,,,,,,,,,,,,,
50,杨超越,杨超越,,什么？？？偏偏这种时候？？？一定不能掉链子！！！,,,,51,,,,,,,,,,,,,
51,杨超越、姜彦汐,,牵手跑上舞台,,,,,52,,,,,,,,,,,,,
52,杨超越、姜彦汐,姜彦汐,,我们是“一队”。,,,,53,,,,,,,,,,,,,
53,杨超越、姜彦汐,杨超越,,不管是什么队，我们都是“一队”！,,,,54,,,,,,,,,,,,,
54,杨超越、姜彦汐,杨超越、姜彦汐,手指向大家,我们给大家带来的是《全部都是你》~~~~~,,,,55,,,,,,,,,,,,,
55,公演舞台,,,,第一次公演动画,,,56,,,,,,,,,,,,,
56,黄子韬,黄子韬,,好的，现在两组都表演完毕。请拿起你们的点赞器为你们喜欢的女孩点赞。,,,,57,,,,,,,,,,,,,
